Contract Name,Written By,Etherscan Tag,Identity,Public on ES,contract_address,creation_time_stamp,transaction_hash,deployed_by,num_transactions,ABI
,,,,FALSE,0xd193ad7a42fb44dca0eee22c2420f672107a910d,2018-07-24T15:39:15Z,,0x68bbebf5933344372237135f3caa1d80a81c5306,0,
Mixer,Apollo Blockchain Technology,,,TRUE,0xc5ec2c0334c17a5b195894b9ce066141d5d17f1c,2018-07-31T00:56:18Z,,0x68bbebf5933344372237135f3caa1d80a81c5306,0,"[{""constant"":true,""inputs"":[{""name"":""ring_guid"",""type"":""bytes32""}],""name"":""message"",""outputs"":[{""name"":"""",""type"":""bytes32""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""token"",""type"":""address""},{""name"":""denomination"",""type"":""uint256""},{""name"":""pub_x"",""type"":""uint256""},{""name"":""pub_y"",""type"":""uint256""}],""name"":""depositERC20Compatible"",""outputs"":[{""name"":"""",""type"":""bytes32""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""ring_id"",""type"":""bytes32""},{""name"":""tag_x"",""type"":""uint256""},{""name"":""tag_y"",""type"":""uint256""},{""name"":""ctlist"",""type"":""uint256[]""}],""name"":""withdrawERC20Compatible"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""token"",""type"":""address""},{""name"":""denomination"",""type"":""uint256""},{""name"":""pub_x"",""type"":""uint256""},{""name"":""pub_y"",""type"":""uint256""}],""name"":""depositEther"",""outputs"":[{""name"":"""",""type"":""bytes32""}],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""ring_id"",""type"":""bytes32""},{""name"":""tag_x"",""type"":""uint256""},{""name"":""tag_y"",""type"":""uint256""},{""name"":""ctlist"",""type"":""uint256[]""}],""name"":""withdrawEther"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""payable"":false,""stateMutability"":""nonpayable"",""type"":""fallback""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ring_id"",""type"":""bytes32""},{""indexed"":true,""name"":""pub_x"",""type"":""uint256""},{""indexed"":false,""name"":""token"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""LogMixerDeposit"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ring_id"",""type"":""bytes32""},{""indexed"":false,""name"":""tag_x"",""type"":""uint256""},{""indexed"":false,""name"":""token"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""LogMixerWithdraw"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ring_id"",""type"":""bytes32""},{""indexed"":false,""name"":""message"",""type"":""bytes32""}],""name"":""LogMixerReady"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""ring_id"",""type"":""bytes32""}],""name"":""LogMixerDead"",""type"":""event""}]"
,,,,FALSE,0x8717105257cd617d5dd73265cfe17771eebe1fbb,2018-11-08T13:07:28Z,,0x52c7e34f94412567a8d067261ff715389ddf5cb6,0,
,,,,FALSE,0x10c08b28cc38f50a7d147d21cfba585a2a717560,2018-11-08T13:14:34Z,,0x52c7e34f94412567a8d067261ff715389ddf5cb6,0,
,,,,FALSE,0xd45b92d118bb37f720402fa0c41f5bac4b758116,2018-11-08T13:27:15Z,,0x52c7e34f94412567a8d067261ff715389ddf5cb6,0,
,,,,FALSE,0x2a46f72a452598a57f5130654248201b60134a0d,2018-11-08T13:28:58Z,0xfaff9f08309c68057d26fd58e808661e50ca92ab825f2e1db34b2862f7df95fc,0x52c7e34f94412567a8d067261ff715389ddf5cb6,5,
AZTEC,AZTEC,,,TRUE,0xb729d78f799f62036a3b149e8d799bf109c214da,2018-11-15T18:23:49Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0xa7e86f17d52562823fd996b1e8d5942c807e6b30,2018-11-15T18:24:49Z,0xff8067a7416728149419d0a4229eb3f48d596a2b7c4ee84e65d12c5363903c9a,0xa9b16b8c2399510706cd275ad9f86ef668067351,2,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0x47547ff1b276beabc1803f6a55849b10b2ee6652,2018-11-16T12:30:43Z,,0xa9b16b8c2399510706cd275ad9f86ef668067351,0,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
AZTECERC20Bridge,AZTEC,,,TRUE,0x6c8b12c650594a9fdb0b1f52084bbd0d9010aa09,2018-11-16T12:55:12Z,0xf815be20775d2bd3f43fae5c3f05e928ae5493877533d773509bec1a704689b9,0xa9b16b8c2399510706cd275ad9f86ef668067351,8,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""bytes32""}],""name"":""noteRegistry"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""notes"",""type"":""bytes32[6][]""},{""name"":""m"",""type"":""uint256""},{""name"":""challenge"",""type"":""uint256""},{""name"":""inputSignatures"",""type"":""bytes32[3][]""},{""name"":""outputOwners"",""type"":""address[]""},{""name"":"""",""type"":""bytes""}],""name"":""confidentialTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""scalingFactor"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[{""name"":""_setupPubKey"",""type"":""bytes32[4]""},{""name"":""_token"",""type"":""address""},{""name"":""_scalingFactor"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""domainHash"",""type"":""bytes32""},{""indexed"":false,""name"":""contractAddress"",""type"":""address""}],""name"":""Created"",""type"":""event""},{""anonymous"":false,""inputs"":[],""name"":""ConfidentialTransfer"",""type"":""event""}]"
