Block/Day/State Update,Txs/State Updates,Project
3703,14,Aztec Connect
3704,8,Aztec Connect
3705,8,Aztec Connect
3706,4,Aztec Connect
3707,6,Aztec Connect
3708,48,Aztec Connect
3709,14,Aztec Connect
3710,9,Aztec Connect
3711,3,Aztec Connect
3712,8,Aztec Connect
3713,1,Aztec Connect
3714,8,Aztec Connect
3715,4,Aztec Connect
3716,5,Aztec Connect
3717,2,Aztec Connect
3718,1,Aztec Connect
3719,13,Aztec Connect
3720,7,Aztec Connect
3721,19,Aztec Connect
3722,3,Aztec Connect
3723,4,Aztec Connect
3724,14,Aztec Connect
3725,2,Aztec Connect
3726,1,Aztec Connect
3727,9,Aztec Connect
3728,3,Aztec Connect
3729,2,Aztec Connect
3730,3,Aztec Connect
3731,1,Aztec Connect
3732,4,Aztec Connect
3733,3,Aztec Connect
3734,2,Aztec Connect
3735,2,Aztec Connect
5297,83,StarkNet
5296,101,StarkNet
5295,67,StarkNet
5294,136,StarkNet
5293,97,StarkNet
5292,39,StarkNet
5291,128,StarkNet
5290,117,StarkNet
5289,45,StarkNet
5288,45,StarkNet
5287,132,StarkNet
5286,150,StarkNet
5285,65,StarkNet
5284,148,StarkNet
5283,146,StarkNet
5282,84,StarkNet
5281,122,StarkNet
5280,97,StarkNet
5279,62,StarkNet
5278,118,StarkNet
5277,87,StarkNet
5276,90,StarkNet
5275,97,StarkNet
5274,95,StarkNet
5273,110,StarkNet
5272,97,StarkNet
5271,99,StarkNet
5270,75,StarkNet
5269,75,StarkNet
5268,91,StarkNet
5267,104,StarkNet
5266,156,StarkNet
5265,82,StarkNet
5264,103,StarkNet
5263,79,StarkNet
5262,95,StarkNet
5261,86,StarkNet
5260,141,StarkNet
5259,87,StarkNet
5258,101,StarkNet
5257,110,StarkNet
5256,111,StarkNet
5255,129,StarkNet
5254,80,StarkNet
5253,88,StarkNet
5252,109,StarkNet
5251,135,StarkNet
5250,84,StarkNet
5249,101,StarkNet
5248,120,StarkNet
5247,68,StarkNet
5246,106,StarkNet
5245,72,StarkNet
5244,119,StarkNet
5243,90,StarkNet
5242,127,StarkNet
5241,69,StarkNet
5240,99,StarkNet
5239,120,StarkNet
5238,124,StarkNet
5237,104,StarkNet
5236,68,StarkNet
5235,88,StarkNet
5234,112,StarkNet
5233,106,StarkNet
5232,95,StarkNet
5231,79,StarkNet
5230,80,StarkNet
5229,121,StarkNet
5228,73,StarkNet
5227,108,StarkNet
5226,94,StarkNet
5225,58,StarkNet
5224,95,StarkNet
5223,43,StarkNet
5222,66,StarkNet
5221,113,StarkNet
5220,114,StarkNet
5219,77,StarkNet
5218,77,StarkNet
5217,90,StarkNet
5216,73,StarkNet
5215,122,StarkNet
5214,87,StarkNet
5213,133,StarkNet
5212,95,StarkNet
5211,72,StarkNet
5210,87,StarkNet
5209,107,StarkNet
5208,67,StarkNet
5207,78,StarkNet
5206,92,StarkNet
5205,74,StarkNet
5204,61,StarkNet
5203,102,StarkNet
5202,108,StarkNet
5201,94,StarkNet
5200,113,StarkNet
5199,119,StarkNet
5198,77,StarkNet
5197,59,StarkNet
5196,68,StarkNet
5195,84,StarkNet
5194,76,StarkNet
5193,80,StarkNet
5192,92,StarkNet
5191,104,StarkNet
5190,126,StarkNet
5189,83,StarkNet
5188,55,StarkNet
5187,71,StarkNet
5186,97,StarkNet
5185,88,StarkNet
5184,88,StarkNet
5183,75,StarkNet
5182,100,StarkNet
5181,77,StarkNet
5180,116,StarkNet
5179,77,StarkNet
5178,107,StarkNet
5177,80,StarkNet
5176,94,StarkNet
5175,98,StarkNet
5174,76,StarkNet
5173,60,StarkNet
5172,75,StarkNet
5171,66,StarkNet
5170,76,StarkNet
5169,64,StarkNet
5168,75,StarkNet
5167,53,StarkNet
5166,52,StarkNet
5165,67,StarkNet
5164,72,StarkNet
5163,80,StarkNet
5162,70,StarkNet
5161,58,StarkNet
5160,55,StarkNet
5159,51,StarkNet
5158,60,StarkNet
5157,65,StarkNet
5156,66,StarkNet
5155,53,StarkNet
5154,57,StarkNet
5153,51,StarkNet
5152,73,StarkNet
5151,105,StarkNet
5150,62,StarkNet
5149,70,StarkNet
5148,55,StarkNet
5147,68,StarkNet
5146,69,StarkNet
5145,69,StarkNet
5144,74,StarkNet
5143,65,StarkNet
5142,72,StarkNet
5141,77,StarkNet
5140,59,StarkNet
5139,47,StarkNet
5138,70,StarkNet
5137,64,StarkNet
5136,64,StarkNet
5135,51,StarkNet
5134,62,StarkNet
5133,88,StarkNet
5132,79,StarkNet
5131,64,StarkNet
5130,45,StarkNet
5129,69,StarkNet
5128,61,StarkNet
5127,62,StarkNet
5126,57,StarkNet
5125,65,StarkNet
5124,102,StarkNet
5123,90,StarkNet
5122,85,StarkNet
5121,74,StarkNet
5120,86,StarkNet
5119,81,StarkNet
5118,109,StarkNet
5117,102,StarkNet
5116,99,StarkNet
5115,88,StarkNet
5114,83,StarkNet
5113,80,StarkNet
5112,81,StarkNet
5111,57,StarkNet
5110,59,StarkNet
5109,60,StarkNet
5108,70,StarkNet
5107,63,StarkNet
5106,60,StarkNet
5105,56,StarkNet
5104,55,StarkNet
5103,49,StarkNet
5102,50,StarkNet
5101,48,StarkNet
5100,72,StarkNet
5099,59,StarkNet
5098,66,StarkNet
5097,55,StarkNet
5096,97,StarkNet
5095,74,StarkNet
5094,71,StarkNet
5093,74,StarkNet
5092,70,StarkNet
5091,72,StarkNet
5090,66,StarkNet
5089,78,StarkNet
5088,60,StarkNet
5087,86,StarkNet
5086,80,StarkNet
5085,93,StarkNet
5084,90,StarkNet
5083,119,StarkNet
5082,95,StarkNet
5081,134,StarkNet
5080,101,StarkNet
5079,112,StarkNet
5078,118,StarkNet
9/20/22,22690,IMX
9/21/22,27348,IMX
9/22/22,22882,IMX
9/23/22,26210,IMX
9/24/22,27987,IMX
9/25/22,30927,IMX
9/26/22,27383,IMX
15414,77,zkSync
15415,120,zkSync
15416,71,zkSync
15417,94,zkSync
15418,111,zkSync
15419,151,zkSync
15420,88,zkSync
15421,104,zkSync
15422,147,zkSync
15423,144,zkSync
15424,107,zkSync
15425,138,zkSync
15426,109,zkSync
15427,122,zkSync
15428,120,zkSync
15429,121,zkSync
15430,146,zkSync
15431,105,zkSync
15432,99,zkSync
15433,138,zkSync
15434,118,zkSync
15435,87,zkSync
15436,101,zkSync
15437,99,zkSync
15438,146,zkSync
15439,105,zkSync
15440,133,zkSync
15441,126,zkSync
15442,122,zkSync
15443,144,zkSync
15444,142,zkSync
15445,112,zkSync
15446,101,zkSync
15447,73,zkSync
15448,175,zkSync
15449,137,zkSync
15450,160,zkSync
15451,128,zkSync
15452,171,zkSync
15453,138,zkSync
15454,109,zkSync
15455,118,zkSync
15456,135,zkSync
15457,124,zkSync
15458,97,zkSync
15459,140,zkSync
15460,112,zkSync
15461,96,zkSync
15462,94,zkSync
15463,104,zkSync
15464,131,zkSync
15465,138,zkSync
15466,125,zkSync
15467,163,zkSync
15468,89,zkSync
15469,129,zkSync
15470,147,zkSync
15471,135,zkSync
15472,120,zkSync
15473,108,zkSync
15474,152,zkSync
15475,131,zkSync
15476,99,zkSync
15477,136,zkSync
15478,173,zkSync
15479,92,zkSync
15480,163,zkSync
15481,143,zkSync
15482,123,zkSync
15483,150,zkSync
15484,111,zkSync
15485,147,zkSync
15486,150,zkSync
15487,113,zkSync
15488,90,zkSync
15489,108,zkSync
15490,121,zkSync
15491,94,zkSync
15492,112,zkSync
15493,109,zkSync
15494,129,zkSync
15495,120,zkSync
15496,125,zkSync
15497,139,zkSync
15498,148,zkSync
15499,123,zkSync
15500,111,zkSync
15501,121,zkSync
15502,164,zkSync
15503,114,zkSync
15504,108,zkSync
15505,114,zkSync
15506,114,zkSync
15507,134,zkSync
15508,117,zkSync
15509,106,zkSync
15510,130,zkSync
15511,90,zkSync
15512,98,zkSync
15513,130,zkSync
15515,161,zkSync
15516,161,zkSync
15517,108,zkSync
15518,119,zkSync
15519,113,zkSync
15520,86,zkSync
15521,114,zkSync
15522,136,zkSync
15523,118,zkSync
15524,83,zkSync
15525,133,zkSync
15526,105,zkSync
15527,166,zkSync
15528,147,zkSync
15529,126,zkSync
15530,110,zkSync
15531,106,zkSync
15532,149,zkSync
15533,137,zkSync
15534,142,zkSync
15535,132,zkSync
15536,111,zkSync
15537,106,zkSync
15538,97,zkSync
15539,113,zkSync
15540,112,zkSync
15541,83,zkSync
15542,122,zkSync
15543,99,zkSync
15544,151,zkSync
15545,138,zkSync
15546,151,zkSync
15547,163,zkSync
15548,135,zkSync
15549,108,zkSync
15550,137,zkSync
15551,160,zkSync
15552,155,zkSync
15553,107,zkSync
15554,128,zkSync
15555,126,zkSync
15556,162,zkSync
15557,156,zkSync
15558,115,zkSync
15559,95,zkSync
15560,134,zkSync
15561,154,zkSync
15562,95,zkSync
15563,138,zkSync
15564,150,zkSync
15565,141,zkSync
15566,162,zkSync
15567,147,zkSync
15568,104,zkSync
15569,125,zkSync
15570,119,zkSync
15571,157,zkSync
15572,102,zkSync
15573,140,zkSync
15574,127,zkSync
15575,82,zkSync
15576,134,zkSync
15577,138,zkSync
15578,110,zkSync
15579,143,zkSync
15580,146,zkSync
15581,136,zkSync
15582,122,zkSync
15583,95,zkSync
15584,141,zkSync
15585,76,zkSync
15586,171,zkSync
15587,111,zkSync
15588,104,zkSync
15589,136,zkSync
15590,119,zkSync
15591,149,zkSync
15592,152,zkSync
15593,153,zkSync
15594,123,zkSync
15595,102,zkSync
15596,146,zkSync
15597,156,zkSync
15598,114,zkSync
15599,135,zkSync
15600,155,zkSync
15601,113,zkSync
15602,155,zkSync
15603,95,zkSync
15604,126,zkSync
15605,91,zkSync
15606,96,zkSync
15607,124,zkSync
15608,131,zkSync
15609,120,zkSync
15610,109,zkSync
15611,98,zkSync
15612,91,zkSync
15613,124,zkSync
15614,127,zkSync
15615,137,zkSync
15616,136,zkSync
15617,97,zkSync
15618,139,zkSync
15619,88,zkSync
15620,116,zkSync
15621,165,zkSync
15622,154,zkSync
15623,93,zkSync
15624,142,zkSync
15625,110,zkSync
15626,111,zkSync
15627,98,zkSync
15628,109,zkSync
15629,118,zkSync
15630,97,zkSync
15631,150,zkSync
15632,151,zkSync
15633,129,zkSync
15634,105,zkSync
15635,97,zkSync
15636,147,zkSync
15637,99,zkSync
15638,114,zkSync
15639,126,zkSync
15640,147,zkSync
15641,105,zkSync
15642,115,zkSync
15643,108,zkSync
15644,95,zkSync
15645,109,zkSync
15646,122,zkSync
15647,156,zkSync
15648,109,zkSync
15649,137,zkSync
15650,135,zkSync
15651,134,zkSync
15652,147,zkSync
15653,152,zkSync
15654,149,zkSync
15655,128,zkSync
15656,123,zkSync
15657,155,zkSync
15658,147,zkSync
15659,121,zkSync
15660,98,zkSync
15661,125,zkSync
15662,119,zkSync
15663,106,zkSync
15664,130,zkSync
15665,115,zkSync
15666,107,zkSync
15667,126,zkSync
15668,110,zkSync
15669,145,zkSync
15670,134,zkSync
15671,146,zkSync
15672,102,zkSync
15673,147,zkSync
15674,110,zkSync
15675,132,zkSync
15676,112,zkSync
15677,144,zkSync
15678,111,zkSync
15679,141,zkSync
15680,123,zkSync
15681,121,zkSync
15682,110,zkSync
15683,131,zkSync
15684,127,zkSync
15685,149,zkSync
15686,103,zkSync
15687,133,zkSync
15688,138,zkSync
15689,130,zkSync
15690,137,zkSync
15691,149,zkSync
15692,165,zkSync
15693,158,zkSync
15694,88,zkSync
15695,157,zkSync
15696,139,zkSync
15697,151,zkSync
15698,116,zkSync
15699,122,zkSync
15700,114,zkSync
15701,114,zkSync
15702,157,zkSync
15703,144,zkSync
15704,129,zkSync
15705,94,zkSync
15706,109,zkSync
15707,150,zkSync
15708,79,zkSync
15709,91,zkSync
15710,139,zkSync
15711,146,zkSync
15712,122,zkSync
15713,122,zkSync
15714,159,zkSync
15715,96,zkSync
15716,142,zkSync
15717,152,zkSync
15718,127,zkSync
15719,117,zkSync
15720,151,zkSync
15721,136,zkSync
